;Tabela 3 - Pessoas de 15 anos ou mais de idade que não sabem ler e escrever, total e respectivas;;;;;;;;;;
;taxas de analfabetismo, por cor ou raça e grupos de idade, segundo os municípios e as ;;;;;;;;;;
; classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;;;
;;;;;;;;;;;(continuação)
Código do município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";"Pessoas de 15 anos ou mais de idade que não sabem ler e escrever,
total e respectivas taxas de analfabetismo, por grupos de idade (%)";;;;;;;;;
;;15 anos ou mais;;15 a 24 anos;;25 a 39 anos;;40 a 59 anos;;60 anos ou mais;
;;Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)"
;Branca;;;;;;;;;;
2107357;Nova Olinda do Maranhão;   527;22,2;   27;3,7;   100;13,0;   189;33,6;   211;65,7
2107407;Olho d'Água das Cunhãs;  1 083;29,7;   94;9,0;   279;23,3;   372;41,7;   338;65,1
2107456;Olinda Nova do Maranhão;   247;17,4;   21;5,3;   55;12,1;   85;23,6;   86;42,2
2107605;Palmeirândia;   465;25,5;   29;6,0;   96;15,9;   138;32,9;   202;63,5
2107902;Passagem Franca;   738;27,2;   59;8,1;   170;20,8;   251;35,4;   258;55,4
2108009;Pastos Bons;   681;18,9;   39;4,3;   144;13,0;   209;22,6;   289;43,3
2108058;Paulino Neves;   580;30,8;   67;9,5;   154;28,5;   197;51,2;   162;64,5
2108405;Peri Mirim;   652;19,9;   30;3,7;   126;11,4;   222;26,6;   274;52,1
2108801;Pirapemas;   435;27,8;   41;8,7;   121;23,3;   147;40,7;   126;58,1
2108900;Poção de Pedras;   848;25,4;   52;5,8;   219;19,5;   293;35,2;   284;57,6
2109205;Presidente Juscelino;   114;22,4;   5;3,1;   23;16,0;   39;31,2;   47;60,3
2109270;Presidente Sarney;   551;31,6;   58;10,4;   127;23,7;   164;44,1;   202;72,7
2109304;Presidente Vargas;   227;24,0;   25;7,7;   49;17,3;   78;38,4;   75;55,6
2109403;Primeira Cruz;   466;26,1;   52;9,2;   150;26,4;   133;33,8;   131;51,4
2110237;Santana do Maranhão;   365;30,2;   39;9,7;   96;24,6;   117;46,6;   113;69,3
2110278;Santo Amaro do Maranhão;   363;21,2;   31;4,8;   95;19,1;   122;34,4;   115;54,5
2110302;Santo Antônio dos Lopes;   512;26,2;   40;7,3;   122;19,2;   159;35,1;   191;59,7
2110401;São Benedito do Rio Preto;   548;25,7;   78;11,3;   133;20,5;   164;33,3;   173;57,7
2110856;São Francisco do Brejão;   321;20,3;   21;4,7;   68;12,8;   106;27,5;   126;57,0
2110906;São Francisco do Maranhão;   462;31,6;   31;8,3;   122;29,7;   152;37,9;   157;57,1
2111003;São João Batista;   649;18,3;   35;4,0;   127;10,6;   209;24,4;   278;44,8
2111029;São João do Carú;   464;31,0;   56;11,7;   173;31,3;   153;46,9;   82;59,0
2111052;São João do Paraíso;   395;17,8;   35;5,7;   75;11,1;   103;18,8;   182;48,0
2111078;São João do Soter;   508;34,0;   39;9,1;   131;28,6;   160;44,7;   178;71,2
2111532;São Pedro da Água Branca;   339;24,9;   21;5,3;   75;16,5;   102;33,1;   141;68,8
2111607;São Raimundo das Mangabeiras;   319;12,4;   15;2,1;   49;6,3;   92;14,4;   163;37,8
2111722;Satubinha;   407;28,0;   40;9,9;   116;22,3;   133;39,5;   118;60,5
2111748;Senador Alexandre Costa;   236;28,9;   18;7,0;   53;22,1;   71;38,8;   94;69,1
2111763;Senador La Rocque;   606;23,2;   51;6,3;   123;15,4;   188;31,9;   244;58,2
2111789;Serrano do Maranhão;   101;31,2;   6;7,7;   23;22,8;   34;40,5;   38;62,3
2111805;Sítio Novo;   423;13,9;   32;3,9;   92;9,4;   125;16,1;   174;37,7
2111904;Sucupira do Norte;   361;21,2;   19;4,0;   73;15,0;   115;26,9;   154;49,4
2112233;Trizidela do Vale;   641;20,2;   41;5,0;   117;10,6;   213;28,3;   270;54,4
2112852;Vila Nova dos Martírios;   447;25,8;   27;5,6;   108;17,8;   172;41,2;   140;62,8
;De 20.001 a 50.000 ;  57 961;21,1;  4 575;5,9;  13 411;15,0;  18 908;28,5;  21 067;51,1
2100204;Alcântara;   482;19,2;   20;3,1;   54;6,8;   193;28,4;   215;56,4
2100303;Aldeias Altas;   576;31,4;   57;10,5;   154;24,1;   188;47,0;   177;70,2
2100436;Alto Alegre do Maranhão;   587;24,9;   53;7,6;   140;17,3;   200;35,8;   194;65,1
2100477;Alto Alegre do Pindaré;   910;28,8;   71;7,4;   234;23,4;   287;40,5;   318;64,1
2100600;Amarante do Maranhão;  1 017;22,1;   75;5,6;   235;15,8;   355;31,6;   352;53,0
2100709;Anajatuba;  1 460;24,4;   85;5,3;   301;15,7;   472;32,8;   602;57,3
2100907;Araioses;  1 800;29,7;   197;10,5;   486;25,5;   543;40,5;   574;60,7
2100956;Arame;  1 116;26,7;   116;8,6;   303;22,4;   349;38,1;   348;62,0
2101004;Arari;  1 109;15,9;   72;3,7;   242;10,6;   382;22,2;   413;40,5
2101905;Bequimão;  1 127;22,1;   43;3,5;   122;8,0;   360;27,5;   602;59,1
2102002;Bom Jardim;  1 114;25,7;   86;6,7;   277;20,2;   337;33,1;   414;61,5
2102036;Bom Jesus das Selvas;   555;22,1;   51;6,7;   136;15,2;   217;37,5;   151;56,3
2102101;Brejo;   907;23,3;   82;7,1;   241;19,2;   279;31,7;   305;49,9
2102200;Buriti;   843;25,8;   67;6,5;   201;20,1;   292;38,1;   283;59,3
2102309;Buriti Bravo;   674;23,5;   45;5,7;   138;17,3;   215;29,5;   276;49,8
2102705;Cantanhede;   440;24,8;   34;6,6;   88;15,3;   141;33,6;   177;67,6
2102804;Carolina;   421;10,3;   16;1,5;   58;4,8;   132;12,3;   215;28,8
